,Title,Year,Genre,IMDB_Score,Metascore,Votes,US_Gross
0,Star Wars: Episode VII - The Force Awakens,2015,"Action, Adventure, Fantasy",8,81,775918,936662225
1,Avatar,2009,"Action, Adventure, Fantasy",7.8,83,1032375,936662225
2,Black Panther,2018,"Action, Adventure, Sci-Fi",7.3,88,484618,936662225
3,Avengers: Infinity War,2018,"Action, Adventure, Sci-Fi",8.5,68,609291,936662225
4,Jurassic World,2015,"Action, Adventure, Sci-Fi",7,59,532709,936662225
5,The Avengers,2012,"Action, Adventure, Sci-Fi",8.1,69,1158363,936662225
6,Star Wars: Episode VIII - The Last Jedi,2017,"Action, Adventure, Fantasy",7.2,85,450825,936662225
7,Incredibles 2,2018,"Animation, Action, Adventure",7.7,80,189268,936662225
8,Rogue One,2016,"Action, Adventure, Sci-Fi",7.8,65,468870,936662225
9,Beauty and the Beast,2017,"Family, Fantasy, Musical",7.2,65,232129,936662225
10,Finding Dory,2016,"Animation, Adventure, Comedy",7.3,77,209779,936662225
11,Avengers: Age of Ultron,2015,"Action, Adventure, Sci-Fi",7.4,66,638954,936662225
12,The Dark Knight Rises,2012,"Action, Thriller",8.4,78,1369376,936662225
13,The Hunger Games: Catching Fire,2013,"Action, Adventure, Sci-Fi",7.5,76,570496,936662225
14,Jurassic World: Fallen Kingdom,2018,"Action, Adventure, Sci-Fi",6.2,51,206471,936662225
15,Toy Story 3,2010,"Animation, Adventure, Comedy",8.3,92,671569,936662225
16,Wonder Woman,2017,"Action, Adventure, Fantasy",7.5,76,473473,936662225
17,Iron Man Three,2013,"Action, Adventure, Sci-Fi",7.2,62,675338,936662225
18,Captain America: Civil War,2016,"Action, Adventure, Sci-Fi",7.8,75,559168,936662225
19,The Hunger Games,2012,"Action, Adventure, Sci-Fi",7.2,68,789407,936662225
20,Jumanji: Welcome to the Jungle,2017,"Action, Adventure, Comedy",7,58,234791,936662225
21,Transformers: Revenge of the Fallen,2009,"Action, Adventure, Sci-Fi",6,35,362257,936662225
22,Frozen,2013,"Animation, Adventure, Comedy",7.5,74,510950,936662225
23,Guardians of the Galaxy Vol. 2,2017,"Action, Adventure, Comedy",7.7,67,456692,936662225
24,Harry Potter and the Deathly Hallows: Part 2,2011,"Adventure, Drama, Fantasy",8.1,87,682669,936662225
25,The Secret Life of Pets,2016,"Animation, Adventure, Comedy",6.5,61,158534,936662225
26,Despicable Me 2,2013,"Animation, Adventure, Comedy",7.4,62,340528,936662225
27,The Jungle Book,2016,"Adventure, Drama, Family",7.4,77,238375,936662225
28,Deadpool,2016,"Action, Adventure, Comedy",8,65,805202,936662225
29,Inside Out,2015,"Animation, Adventure, Comedy",8.2,94,526058,936662225
30,Furious 7,2015,"Action, Crime, Thriller",7.2,67,332098,936662225
31,Transformers: Dark of the Moon,2011,"Action, Adventure, Sci-Fi",6.3,42,363695,936662225
32,American Sniper,2014,"Action, Biography, Drama",7.3,72,397605,936662225
33,Zootopia,2016,"Animation, Adventure, Comedy",8,78,375833,936662225
34,The Hunger Games: Mockingjay - Part 1,2014,"Action, Adventure, Sci-Fi",6.7,64,374507,936662225
35,Minions,2015,"Animation, Action, Adventure",6.4,56,191109,936662225
36,Aquaman,2018,"Action, Adventure, Fantasy",7.2,55,210821,936662225
37,Spider-Man: Homecoming,2017,"Action, Adventure, Sci-Fi",7.5,73,401293,936662225
38,Alice in Wonderland,2010,"Adventure, Family, Fantasy",6.5,53,355315,936662225
39,Guardians of the Galaxy,2014,"Action, Adventure, Comedy",8.1,76,921329,936662225
40,Batman v Superman: Dawn of Justice,2016,"Action, Adventure, Fantasy",6.5,44,568256,936662225
41,It,2017,"Horror, Thriller",7.4,69,343982,936662225
