,Title,Studio_Abbreviation,Worldwide_Gross,Domestic_Gross,Domestic_Share,Overseas_Gross,Overseas_Share,Year_x,Genre,IMDB_Score,Metascore,Votes,Subgenre1,Subgrene2,Subgrene3
0,Avengers: Infinity War,BV,2048.4,678.8,33.1,1369.5,66.9,2018,"Action, Adventure, Sci-Fi",8.5,68,609291,Action, Adventure, Sci-Fi
1,Black Panther,BV,1346.9,700.1,52,646.9,48,2018,"Action, Adventure, Sci-Fi",7.3,88,484618,Action, Adventure, Sci-Fi
2,Jurassic World: Fallen Kingdom,Uni.,1309.5,417.7,31.9,891.8,68.1,2018,"Action, Adventure, Sci-Fi",6.2,51,206471,Action, Adventure, Sci-Fi
3,Incredibles 2,BV,1242.8,608.6,49,634.2,51,2018,"Animation, Action, Adventure",7.7,80,189268,Animation, Action, Adventure
4,Aquaman,WB,1146.9,334.8,29.2,812.1,70.8,2018,"Action, Adventure, Fantasy",7.2,55,210821,Action, Adventure, Fantasy
5,Bohemian Rhapsody,Fox,889.3,216,24.3,673.4,75.7,2018,"Biography, Drama, Music",8.1,49,310691,Biography, Drama, Music
6,Mission: Impossible - Fallout,Par.,791.1,220.2,27.8,571,72.2,2018,"Action, Adventure, Thriller",7.8,86,221922,Action, Adventure, Thriller
7,Deadpool 2,Fox,778.9,318.5,40.9,460.5,59.1,2018,"Action, Adventure, Comedy",7.8,66,365627,Action, Adventure, Comedy
8,Fantastic Beasts: The Crimes of Grindelwald,WB,653.7,159.6,24.4,494.1,75.6,2018,"Adventure, Family, Fantasy",6.7,52,144196,Adventure, Family, Fantasy
9,Ant-Man & the Wasp,BV,622.7,216.6,34.8,406,65.2,2018,"Action, Adventure, Comedy",7.1,70,212329,Action, Adventure, Comedy
10,Ready Player One,WB,582.9,137.7,23.6,445.2,76.4,2018,"Action, Adventure, Sci-Fi",7.5,64,289104,Action, Adventure, Sci-Fi
11,The Meg,WB,530.2,145.4,27.4,384.8,72.6,2018,"Action, Horror, Sci-Fi",5.7,46,102230,Action, Horror, Sci-Fi
12,Hotel Transylvania 3: Summer Vacation,Sony,528.6,167.5,31.7,361.1,68.3,2018,"Animation, Adventure, Comedy",6.3,54,39051,Animation, Adventure, Comedy
13,Ralph Breaks the Internet,BV,527.5,201,38.1,326.5,61.9,2018,"Animation, Adventure, Comedy",7.2,71,71138,Animation, Adventure, Comedy
14,Bumblebee,Par.,462.5,127.2,27.5,335.3,72.5,2018,"Action, Adventure, Sci-Fi",7,66,65760,Action, Adventure, Sci-Fi
15,Mamma Mia! Here We Go Again,Uni.,394.7,120.6,30.6,274.1,69.4,2018,"Comedy, Musical, Romance",6.8,60,54903,Comedy, Musical, Romance
16,Solo: A Star Wars Story,BV,392.9,213.8,54.4,179.2,45.6,2018,"Action, Adventure, Fantasy",7,62,213274,Action, Adventure, Fantasy
17,Fifty Shades Freed,Uni.,371.9,100.4,27,271.5,73,2018,"Drama, Romance, Thriller",4.5,31,42008,Drama, Romance, Thriller
18,The Nun,WB (NL),365.6,117.5,32.1,248.1,67.9,2018,"Horror, Mystery, Thriller",5.4,46,81934,Horror, Mystery, Thriller
19,Peter Rabbit,Sony,351.3,115.3,32.8,236,67.2,2018,"Animation, Adventure, Comedy",6.6,51,26580,Animation, Adventure, Comedy
20,Mary Poppins Returns,BV,348.8,171.8,49.3,176.9,50.7,2018,"Comedy, Family, Fantasy",7,66,41061,Comedy, Family, Fantasy
21,A Quiet Place,Par.,340.9,188,55.1,152.9,44.9,2018,"Drama, Horror, Mystery",7.6,82,286722,Drama, Horror, Mystery
22,Skyscraper,Uni.,304.9,68.4,22.4,236.4,77.6,2018,"Action, Adventure, Thriller",5.8,51,74418,Action, Adventure, Thriller
23,Ocean's 8,WB,297.7,140.2,47.1,157.5,52.9,2018,"Action, Comedy, Crime",6.2,61,134403,Action, Comedy, Crime
24,Green Book,Uni.,294.6,84,28.5,210.6,71.5,2018,"Biography, Comedy, Drama",8.3,69,158162,Biography, Comedy, Drama
25,Maze Runner: The Death Cure,Fox,288.3,58,20.1,230.2,79.9,2018,"Action, Sci-Fi, Thriller",6.2,50,87523,Action, Sci-Fi, Thriller
26,Tomb Raider,WB,274.7,58.3,21.2,216.4,78.8,2018,"Action, Adventure, Fantasy",6.3,48,157058,Action, Adventure, Fantasy
27,Crazy Rich Asians,WB,238.5,174.5,73.2,64,26.8,2018,"Comedy, Romance",7,74,84875,Comedy, Romance,
28,Paddington 2,WB,227.3,40.9,18,186.4,82,2018,"Adventure, Comedy, Family",7.9,88,44429,Adventure, Comedy, Family
29,Smallfoot,WB,214.1,83.2,38.9,130.9,61.1,2018,"Animation, Adventure, Comedy",6.7,60,20840,Animation, Adventure, Comedy
30,Creed II,MGM,213.9,115.7,54.1,98.2,45.9,2018,"Drama, Sport",7.3,66,60280,Drama, Sport,
31,The Equalizer 2,Sony,190.4,102.1,53.6,88.3,46.4,2018,"Action, Crime, Thriller",6.7,50,88387,Action, Crime, Thriller
32,The Nutcracker & the Four Realms,BV,173.9,54.9,31.5,119.1,68.5,2018,"Adventure, Family, Fantasy",5.5,39,16289,Adventure, Family, Fantasy
33,Insidious: The Last Key,Uni.,167.9,67.7,40.4,100.1,59.6,2018,"Horror, Mystery, Thriller",5.7,49,40194,Horror, Mystery, Thriller
