,Title,Studio_Abbreviation,Worldwide_Gross,Domestic_Gross,Domestic_Share,Overseas_Gross,Overseas_Share,Year_x,Genre,IMDB_Score,Metascore,Votes,Subgenre1,Subgrene2,Subgrene3,Actors,Awards,Country,Director,Language,Plot,Poster,Production,Rated,Ratings,Released,Runtime,Writer
0,Avengers: Infinity War,BV,2048.4,678.8,33.1,1369.5,66.9,2018,"Action, Adventure, Sci-Fi",8.5,68,609291,Action, Adventure, Sci-Fi,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans",,USA,"Anthony Russo, Joe Russo",English,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,https://m.media-amazon.com/images/M/MV5BMjMxNjY2MDU1OV5BMl5BanBnXkFtZTgwNzY1MTUwNTM@._V1_SX300.jpg,Walt Disney Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",27 Apr 2018,149 min,"Christopher Markus (screenplay by), Stephen McFeely (screenplay by), Stan Lee (based on the Marvel comics by), Jack Kirby (based on the Marvel comics by), Joe Simon (Captain America created by), Jack Kirby (Captain America created by), Steve Englehart (Star-Lord created by), Steve Gan (Star-Lord created by), Bill Mantlo (Rocket Raccoon created by), Keith Giffen (Rocket Raccoon created by), Jim Starlin (Thanos,  Gamora and Drax created by), Stan Lee (Groot created by), Larry Lieber (Groot created by), Jack Kirby (Groot created by), Steve Englehart (Mantis created by), Don Heck (Mantis created by)"
1,Black Panther,BV,1346.9,700.1,52.0,646.9,48.0,2018,"Action, Adventure, Sci-Fi",7.3,88,484618,Action, Adventure, Sci-Fi,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira",14 nominations.,USA,Ryan Coogler,"English, Swahili, Nama, Xhosa, Korean","T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.",https://m.media-amazon.com/images/M/MV5BMTg1MTY2MjYzNV5BMl5BanBnXkFtZTgwMTc4NTMwNDI@._V1_SX300.jpg,Marvel Studios,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '88/100'}]",16 Feb 2018,134 min,"Ryan Coogler, Joe Robert Cole, Stan Lee (based on the Marvel comics by), Jack Kirby (based on the Marvel Comics by)"
2,Jurassic World: Fallen Kingdom,Uni.,1309.5,417.7,31.9,891.8,68.1,2018,"Action, Adventure, Sci-Fi",6.2,51,206471,Action, Adventure, Sci-Fi,"Chris Pratt, Bryce Dallas Howard, Rafe Spall, Justice Smith",,USA,J.A. Bayona,"English, Russian","When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event.",https://m.media-amazon.com/images/M/MV5BNzIxMjYwNDEwN15BMl5BanBnXkFtZTgwMzk5MDI3NTM@._V1_SX300.jpg,Universal Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '48%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",22 Jun 2018,128 min,"Derek Connolly, Colin Trevorrow, Michael Crichton (based on characters created by)"
3,Incredibles 2,BV,1242.8,608.6,49.0,634.2,51.0,2018,"Animation, Action, Adventure",7.7,80,189268,Animation, Action, Adventure,"Craig T. Nelson, Holly Hunter, Sarah Vowell, Huck Milner",,USA,Brad Bird,English,"The Incredibles hero family takes on a new mission, which involves a change in family roles: Bob Parr (Mr Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.",https://m.media-amazon.com/images/M/MV5BMTEzNzY0OTg0NTdeQTJeQWpwZ15BbWU4MDU3OTg3MjUz._V1_SX300.jpg,Disney/Pixar,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '80/100'}]",15 Jun 2018,118 min,Brad Bird
4,Aquaman,WB,1146.9,334.8,29.2,812.1,70.8,2018,"Action, Adventure, Fantasy",7.2,55,210821,Action, Adventure, Fantasy,"Jason Momoa, Amber Heard, Willem Dafoe, Patrick Wilson",,"Australia, USA",James Wan,English,"Arthur Curry, the human-born heir to the underwater kingdom of Atlantis, goes on a quest to prevent a war between the worlds of ocean and land.",https://m.media-amazon.com/images/M/MV5BOTk5ODg0OTU5M15BMl5BanBnXkFtZTgwMDQ3MDY3NjM@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '65%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",21 Dec 2018,143 min,"David Leslie Johnson-McGoldrick (screenplay by), Will Beall (screenplay by), Geoff Johns (story by), James Wan (story by), Will Beall (story by), Mort Weisinger (Aquaman created by), Paul Norris (Aquaman created by)"
5,Bohemian Rhapsody,Fox,889.3,216.0,24.3,673.4,75.7,2018,"Biography, Drama, Music",8.1,49,310691,Biography, Drama, Music,"Rami Malek, Lucy Boynton, Gwilym Lee, Ben Hardy",,"UK, USA",Bryan Singer,English,"The story of the legendary rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985).",https://m.media-amazon.com/images/M/MV5BNDg2NjIxMDUyNF5BMl5BanBnXkFtZTgwMzEzNTE1NTM@._V1_SX300.jpg,20th Century Fox,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '61%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",02 Nov 2018,134 min,"Anthony McCarten (story by), Peter Morgan (story by), Anthony McCarten (screenplay by)"
6,Mission: Impossible - Fallout,Par.,791.1,220.2,27.8,571.0,72.2,2018,"Action, Adventure, Thriller",7.8,86,221922,Action, Adventure, Thriller,"Tom Cruise, Henry Cavill, Ving Rhames, Simon Pegg",,"USA, China, France, Norway",Christopher McQuarrie,"English, French","Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.",https://m.media-amazon.com/images/M/MV5BNjRlZmM0ODktY2RjNS00ZDdjLWJhZGYtNDljNWZkMGM5MTg0XkEyXkFqcGdeQXVyNjAwMjI5MDk@._V1_SX300.jpg,Paramount Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '86/100'}]",27 Jul 2018,147 min,"Bruce Geller (based on the television series created by), Christopher McQuarrie"
7,Deadpool 2,Fox,778.9,318.5,40.9,460.5,59.1,2018,"Action, Adventure, Comedy",7.8,66,365627,Action, Adventure, Comedy,"Ryan Reynolds, Josh Brolin, Morena Baccarin, Julian Dennison",,USA,David Leitch,"English, Cantonese, Spanish, Russian","Foul-mouthed mutant mercenary Wade Wilson (AKA. Deadpool), brings together a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg, Cable.",https://m.media-amazon.com/images/M/MV5BNjk1Njk3YjctMmMyYS00Y2I4LThhMzktN2U0MTMyZTFlYWQ5XkEyXkFqcGdeQXVyODM2ODEzMDA@._V1_SX300.jpg,20th Century Fox,R,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",18 May 2018,119 min,"Rhett Reese, Paul Wernick, Ryan Reynolds"
8,Fantastic Beasts: The Crimes of Grindelwald,WB,653.7,159.6,24.4,494.1,75.6,2018,"Adventure, Family, Fantasy",6.7,52,144196,Adventure, Family, Fantasy,"Johnny Depp, Kevin Guthrie, Carmen Ejogo, Wolf Roth",,"UK, USA",David Yates,"English, French","The second installment of the ""Fantastic Beasts"" series featuring the adventures of Magizoologist Newt Scamander.",https://m.media-amazon.com/images/M/MV5BZjFiMGUzMTAtNDAwMC00ZjRhLTk0OTUtMmJiMzM5ZmVjODQxXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '37%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",16 Nov 2018,134 min,"J.K. Rowling, J.K. Rowling (based upon characters created by)"
9,Ready Player One,WB,582.9,137.7,23.6,445.2,76.4,2018,"Action, Adventure, Sci-Fi",7.5,64,289104,Action, Adventure, Sci-Fi,"Tye Sheridan, Olivia Cooke, Ben Mendelsohn, Lena Waithe",,USA,Steven Spielberg,English,"When the creator of a virtual reality world called the OASIS dies, he releases a video in which he challenges all OASIS users to find his Easter Egg, which will give the finder his fortune.",https://m.media-amazon.com/images/M/MV5BY2JiYTNmZTctYTQ1OC00YjU4LWEwMjYtZjkwY2Y5MDI0OTU3XkEyXkFqcGdeQXVyNTI4MzE4MDU@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '72%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",29 Mar 2018,140 min,"Zak Penn (screenplay by), Ernest Cline (screenplay by), Ernest Cline (based on the novel by)"
